time;cpu;sent;recv
1552921957.920613;2.8;5086309;91725307
1552921958.922888;4.0;5086309;91725307
1552921959.9255319;3.8;5086309;91725307
1552921960.9278524;3.5;5086309;91725307
1552921961.9302652;4.5;5086309;91725307
1552921962.9325829;3.7;5086309;91725307
1552921963.9346924;12.7;5086309;91725307
1552921964.936633;2.3;5086309;91725307
1552921965.9387624;3.3;5086309;91725307
1552921966.941033;2.5;5086309;91725307
